timestamp,fps,inference_time_ms,ram_mb,objects_detected,event_type,danger_level
1779545660.713806,0,406.83,462.85,0,camino totalmente despejado,Bajo
1779545660.8752549,0,99.82,487.54,0,camino totalmente despejado,Bajo
1779545661.0183718,0,113.76,488.22,0,camino totalmente despejado,Bajo
1779545661.159542,0,107.81,488.31,0,camino totalmente despejado,Bajo
1779545661.302488,5,110.52,479.93,0,camino totalmente despejado,Bajo
1779545661.4380484,5,105.85,486.13,0,camino totalmente despejado,Bajo
1779545661.5619073,5,100.84,486.2,0,camino totalmente despejado,Bajo
1779545661.683706,5,95.54,486.23,0,camino totalmente despejado,Bajo
1779545661.8087091,5,101.21,486.33,0,camino totalmente despejado,Bajo
1779545661.9258182,5,94.68,487.43,0,camino totalmente despejado,Bajo
1779545662.0469482,5,95.97,486.45,0,camino totalmente despejado,Bajo
1779545662.1651275,5,91.67,486.45,0,camino totalmente despejado,Bajo
1779545662.2834592,5,92.47,490.61,0,camino totalmente despejado,Bajo
1779545662.4004183,9,89.64,486.03,0,camino totalmente despejado,Bajo
1779545662.513124,9,89.56,486.18,0,camino totalmente despejado,Bajo
1779545662.6229644,9,86.49,486.8,0,camino totalmente despejado,Bajo
1779545662.737049,9,89.41,486.58,0,camino totalmente despejado,Bajo
1779545662.8469899,9,87.76,486.62,0,camino totalmente despejado,Bajo
1779545662.9615192,9,83.66,486.64,0,camino totalmente despejado,Bajo
1779545663.072788,9,90.98,486.65,0,camino totalmente despejado,Bajo
1779545663.197758,9,93.68,486.97,2,"1 person CRITICO, 1 person Cerca",Alto
1779545663.3142638,9,93.02,486.43,1,1 person CRITICO,Alto
1779545663.4294364,9,92.17,486.61,1,1 person CRITICO,Alto
1779545663.551077,9,98.89,486.7,1,1 person CRITICO,Alto
1779545663.6674087,9,89.31,486.81,1,1 person CRITICO,Alto
1779545663.7893622,9,99.34,487.06,3,"1 person CRITICO, 1 person Cerca, 1 person Lejos",Alto
1779545663.894795,9,80.71,487.49,2,"1 person CRITICO, 1 person Cerca",Alto
1779545664.0251932,9,102.39,487.56,1,1 person CRITICO,Alto
1779545664.1520371,9,101.49,487.57,1,1 person CRITICO,Alto
1779545664.284103,9,100.95,484.23,3,"1 person CRITICO, 1 person Lejos, 1 person Cerca",Alto
1779545664.4091997,9,98.83,487.1,2,"1 person CRITICO, 1 person Lejos",Alto
1779545664.5736723,9,120.31,488.87,3,"1 person CRITICO, 1 person Lejos, 1 person Cerca",Alto
1779545664.7113953,9,105.19,488.91,2,"1 person CRITICO, 1 person Cerca",Alto
1779545664.8519423,9,114.43,489.02,4,"1 person CRITICO, 1 person Cerca, 1 person Lejos",Alto
1779545664.9690545,9,96.47,489.09,3,"1 person CRITICO, 1 person Lejos, 1 person Cerca",Alto
1779545665.1021097,9,105.37,489.86,3,"1 person CRITICO, 1 person Cerca",Alto
1779545665.231761,9,99.83,495.12,4,"1 person CRITICO, 1 person Cerca, 1 person Lejos",Alto
1779545665.3586547,9,96.93,486.31,4,"1 person CRITICO, 1 person Cerca, 1 person Lejos",Alto
1779545665.4899905,9,110.16,489.2,2,1 person CRITICO,Alto
1779545665.6374464,8,117.85,489.37,3,"1 person CRITICO, 1 person Cerca",Alto
1779545665.7871575,8,114.59,489.41,3,"1 person CRITICO, 1 person Cerca",Alto
1779545665.9127357,8,99.12,489.42,2,1 person CRITICO,Alto
1779545666.0368445,8,98.6,489.45,1,1 person CRITICO,Alto
1779545666.156142,8,95.62,489.47,1,1 person CRITICO,Alto
1779545666.2952964,8,110.68,480.49,3,"1 person CRITICO, 1 skateboard Cerca",Alto
1779545666.4279015,8,107.19,489.34,6,"1 person CRITICO, 1 keyboard Lejos, 1 skateboard Cerca, 1 person Cerca, 1 skateboard Lejos",Alto
1779545666.5614414,8,99.6,489.52,2,1 person CRITICO,Alto
1779545666.6968272,8,107.27,489.55,3,1 person CRITICO,Alto
1779545666.829199,8,109.55,489.56,1,1 person CRITICO,Alto
1779545666.9697042,8,109.41,489.59,2,1 person CRITICO,Alto
1779545667.1066158,8,110.84,489.62,5,"1 person CRITICO, 1 keyboard Cerca, 1 person Cerca, 1 laptop Lejos",Alto
1779545667.2440047,8,108.93,489.64,9,"1 person CRITICO, 1 person Cerca, 1 laptop Cerca, 1 laptop Lejos, 1 chair Cerca, 1 person Lejos",Alto
1779545667.3817976,8,105.05,486.46,8,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 laptop Lejos, 1 chair Cerca, 1 person Lejos",Alto
1779545667.5131567,8,101.66,489.34,8,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 chair Cerca, 1 person Lejos, 1 laptop Lejos",Alto
1779545667.6634588,8,115.15,489.55,8,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 chair Cerca, 1 person Lejos, 1 laptop Lejos",Alto
1779545667.8170667,8,127.95,489.57,7,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 chair Cerca, 1 person Lejos",Alto
1779545667.9753833,8,129.49,489.59,5,"1 person CRITICO, 1 person Cerca, 1 chair Cerca",Alto
1779545668.1367998,8,126.14,489.62,5,"1 person CRITICO, 1 person Cerca, 1 chair Cerca",Alto
1779545668.2904713,8,121.74,489.64,7,"1 person CRITICO, 1 person Cerca, 1 chair Cerca, 1 laptop Cerca, 1 person Lejos",Alto
1779545668.4412556,8,118.19,489.23,6,"1 person CRITICO, 1 person Cerca, 1 person Lejos, 1 laptop Cerca, 1 chair Cerca",Alto
1779545668.5783498,8,108.41,489.41,7,"1 person CRITICO, 1 person Cerca, 1 laptop Cerca, 1 chair Cerca, 1 person Lejos",Alto
1779545668.716321,8,107.05,489.48,7,"1 person CRITICO, 1 person Cerca, 1 person Lejos, 1 laptop Cerca, 1 chair Cerca, 1 chair Lejos",Alto
1779545668.8510923,7,102.11,489.49,7,"1 laptop Cerca, 1 person CRITICO, 1 person Cerca, 1 person Lejos, 1 chair Cerca",Alto
1779545668.9826305,7,101.14,489.51,8,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 chair Lejos, 1 person Lejos, 1 chair Cerca",Alto
1779545669.117599,7,103.77,489.55,8,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 chair Lejos, 1 person Lejos, 1 chair Cerca",Alto
1779545669.2558243,7,109.22,489.57,8,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 chair Lejos, 1 person Lejos, 1 chair Cerca",Alto
1779545669.4074624,7,120.89,486.57,7,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 chair Lejos, 1 person Lejos",Alto
1779545669.5533283,7,114.6,489.45,8,"1 laptop Cerca, 1 person CRITICO, 1 person Cerca, 1 person Lejos, 1 chair Lejos, 1 chair Cerca",Alto
1779545669.8170547,7,230.47,489.64,10,"1 person CRITICO, 1 person Cerca, 1 person Lejos, 1 laptop Lejos, 1 tie Cerca, 1 keyboard Lejos",Alto
1779545670.1319704,7,274.88,486.17,6,"1 person CRITICO, 1 person Cerca, 1 laptop Lejos, 1 person Lejos",Alto
1779545670.4578967,7,278.61,482.79,7,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 person Lejos, 1 tie Cerca",Alto
1779545670.703038,7,204.45,488.87,6,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 person Lejos",Alto
1779545670.9093668,7,168.67,493.56,10,"1 person CRITICO, 1 person Cerca, 1 laptop Cerca, 1 person Lejos, 1 laptop Lejos, 1 microwave Lejos",Alto
1779545671.0732117,7,128.19,489.08,7,"1 person CRITICO, 1 person Cerca, 1 laptop Cerca, 1 person Lejos",Alto
1779545671.2887623,5,178.77,489.12,7,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 person Lejos",Alto
1779545671.5093079,5,188.06,485.96,7,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 chair Lejos, 1 person Lejos, 1 chair Cerca",Alto
1779545671.6955023,5,154.48,488.8,8,"1 laptop Cerca, 1 person CRITICO, 1 person Cerca, 1 laptop Lejos, 1 chair Cerca, 1 person Lejos",Alto
1779545671.8853428,5,153.89,489.03,5,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 person Lejos",Alto
1779545672.0321646,5,114.15,489.12,7,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 person Lejos, 1 laptop Lejos",Alto
1779545672.18975,5,128.16,489.15,8,"1 laptop Cerca, 1 person CRITICO, 1 person Cerca, 1 person Lejos, 1 chair Lejos",Alto
1779545672.3390336,6,118.57,489.18,7,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 person Lejos, 1 laptop Lejos",Alto
1779545672.4952197,6,123.91,486.05,9,"1 laptop Cerca, 1 person CRITICO, 1 person Cerca, 1 chair Lejos, 1 person Lejos, 1 handbag Lejos",Alto
1779545672.6550076,6,126.1,488.91,8,"1 laptop Cerca, 1 person CRITICO, 1 person Cerca, 1 chair Lejos, 1 person Lejos, 1 tie Cerca",Alto
1779545672.7875223,6,104.53,489.05,10,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 tie Lejos, 1 person Lejos, 1 handbag Lejos, 1 chair Lejos",Alto
1779545672.920439,6,105.78,489.07,10,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 person Lejos, 1 handbag Lejos, 1 chair Lejos, 1 tie Lejos",Alto
1779545673.0643053,6,112.69,489.18,12,"1 laptop Cerca, 1 person CRITICO, 1 person Cerca, 1 tie Lejos, 1 handbag Lejos, 1 chair Cerca, 1 chair Lejos",Alto
1779545673.1959999,6,104.7,489.23,9,"1 person CRITICO, 1 laptop Cerca, 1 person Cerca, 1 handbag Lejos, 1 chair Lejos",Alto
1779545673.336469,6,112.43,489.24,10,"1 person CRITICO, 1 laptop Lejos, 1 person Cerca, 1 handbag Lejos, 1 chair Lejos",Alto
1779545673.4752374,8,100.83,486.12,10,"1 person CRITICO, 1 laptop Lejos, 1 person Cerca, 1 person Lejos, 1 handbag Lejos, 1 chair Lejos",Alto
1779545673.6093242,8,105.67,488.98,8,"1 person CRITICO, 1 laptop Lejos, 1 person Cerca, 1 person Lejos, 1 handbag Lejos",Alto
1779545673.7496712,8,106.19,489.16,9,"1 person CRITICO, 1 laptop Lejos, 1 person Cerca, 1 person Lejos, 1 handbag Lejos, 1 chair Lejos",Alto
1779545673.8821344,8,107.72,489.18,9,"1 person CRITICO, 1 laptop Lejos, 1 person Cerca, 1 person Lejos, 1 handbag Lejos, 1 chair Lejos",Alto
1779545674.013298,8,101.76,489.21,10,"1 person CRITICO, 1 laptop Lejos, 1 person Cerca, 1 person Lejos, 1 handbag Lejos, 1 chair Lejos, 1 chair Cerca",Alto
1779545674.1585608,8,115.38,489.25,11,"1 person CRITICO, 1 laptop Lejos, 1 person Cerca, 1 person Lejos, 1 handbag Lejos, 1 chair Cerca, 1 chair Lejos",Alto
1779545674.3007598,8,112.46,489.27,9,"1 person CRITICO, 1 laptop Lejos, 1 person Cerca, 1 person Lejos, 1 chair Lejos, 1 handbag Lejos",Alto
1779545674.4321527,8,102.94,489.28,7,"1 person CRITICO, 1 person Cerca, 1 laptop Lejos, 1 person Lejos",Alto
1779545674.5645778,8,100.55,483.0,11,"1 person CRITICO, 1 person Cerca, 1 laptop Lejos, 1 person Lejos, 1 chair Cerca, 1 chair Lejos",Alto
1779545674.7039578,8,110.78,483.18,11,"1 person CRITICO, 1 person Cerca, 1 laptop Lejos, 1 person Lejos, 1 chair Cerca, 1 chair Lejos",Alto
1779545674.8350945,8,107.82,483.19,11,"1 person CRITICO, 1 person Cerca, 1 laptop Lejos, 1 person Lejos, 1 chair Cerca, 1 chair Lejos",Alto
